job_title,company_name,company_location,job_listed,job_detail_url,company_link
CS Executive,Bluesky HR Consultancy Inc.,"Colombo, Western Province, Sri Lanka",2 months ago,https://lk.linkedin.com/jobs/view/cs-executive-at-bluesky-hr-consultancy-inc-4172619539?position=1&pageNum=7&refId=RRYsPJvcIGRNk4Sqc7ljXA%3D%3D&trackingId=4TstkLgm%2BNzn%2BovpUPK69w%3D%3D,https://www.linkedin.com/company/bluesky-hr-consultancy-inc?trk=public_jobs_jserp-result_job-search-card-subtitle
"Assistant Manager, Business Development - Priority Clients",Standard Chartered,"Colombo, Western Province, Sri Lanka",4 months ago,https://lk.linkedin.com/jobs/view/assistant-manager-business-development-priority-clients-at-standard-chartered-4131404861?position=2&pageNum=7&refId=RRYsPJvcIGRNk4Sqc7ljXA%3D%3D&trackingId=6g8hnQFNT1mEleM4XSYuhw%3D%3D,https://uk.linkedin.com/company/standardchartered?trk=public_jobs_jserp-result_job-search-card-subtitle
Telesales Executive (Air Ticketing),AGRA HR Partner,"Colombo, Western Province, Sri Lanka",2 days ago,https://lk.linkedin.com/jobs/view/telesales-executive-air-ticketing-at-agra-hr-partner-4237554188?position=3&pageNum=7&refId=RRYsPJvcIGRNk4Sqc7ljXA%3D%3D&trackingId=v6lq2AzJNCSxdp8CegxV7w%3D%3D,https://www.linkedin.com/company/agrahrpartner?trk=public_jobs_jserp-result_job-search-card-subtitle
Legal Officer,Koko,"Colombo, Western Province, Sri Lanka",1 day ago,https://lk.linkedin.com/jobs/view/legal-officer-at-koko-4235826324?position=4&pageNum=7&refId=RRYsPJvcIGRNk4Sqc7ljXA%3D%3D&trackingId=bmqjMi0nuUMKJ6LHq8O4Yw%3D%3D,https://lk.linkedin.com/company/paykokoapp?trk=public_jobs_jserp-result_job-search-card-subtitle
Legal Executive,Roar Global,"Colombo, Western Province, Sri Lanka",1 month ago,https://lk.linkedin.com/jobs/view/legal-executive-at-roar-global-4211247367?position=5&pageNum=7&refId=RRYsPJvcIGRNk4Sqc7ljXA%3D%3D&trackingId=qBD0%2BZSzCYHbTq3Ue3m6CQ%3D%3D,https://sg.linkedin.com/company/roarglobal?trk=public_jobs_jserp-result_job-search-card-subtitle
Junior Executive Internal Audit,Talent Bridge HR Consultants,"Colombo, Western Province, Sri Lanka",2 hours ago,https://lk.linkedin.com/jobs/view/junior-executive-internal-audit-at-talent-bridge-hr-consultants-4236556966?position=6&pageNum=7&refId=RRYsPJvcIGRNk4Sqc7ljXA%3D%3D&trackingId=VUXZDeh0W90qexr7VKlHIw%3D%3D,https://www.linkedin.com/company/talent-bridge-hr-consultants?trk=public_jobs_jserp-result_job-search-card-subtitle
Talent Acquisition Specialist (Executive / Sr. Executive) - Chinese Speaking,Bluesky HR Consultancy Inc.,"Colombo, Western Province, Sri Lanka",1 month ago,https://lk.linkedin.com/jobs/view/talent-acquisition-specialist-executive-sr-executive-chinese-speaking-at-bluesky-hr-consultancy-inc-4204840717?position=7&pageNum=7&refId=RRYsPJvcIGRNk4Sqc7ljXA%3D%3D&trackingId=o5kaPVEeq2%2BEe%2B0tUL74zQ%3D%3D,https://www.linkedin.com/company/bluesky-hr-consultancy-inc?trk=public_jobs_jserp-result_job-search-card-subtitle
Senior Business Analyst,Jobfactory,"Dehiwala, Western Province, Sri Lanka",23 hours ago,https://lk.linkedin.com/jobs/view/senior-business-analyst-at-jobfactory-4235882674?position=8&pageNum=7&refId=RRYsPJvcIGRNk4Sqc7ljXA%3D%3D&trackingId=eS16F8xuxnE2tS0SDWwPLA%3D%3D,https://lk.linkedin.com/company/jobfactory?trk=public_jobs_jserp-result_job-search-card-subtitle
Technical Project Lead/Associate Project Lead,OrangeHRM,"Colombo, Western Province, Sri Lanka",1 month ago,https://lk.linkedin.com/jobs/view/technical-project-lead-associate-project-lead-at-orangehrm-4210730584?position=9&pageNum=7&refId=RRYsPJvcIGRNk4Sqc7ljXA%3D%3D&trackingId=xcsjc1lOBEQwwBsHq%2FCBEA%3D%3D,https://www.linkedin.com/company/orangehrm?trk=public_jobs_jserp-result_job-search-card-subtitle
Senior Mortgage Specialist,The Global BPO,"Colombo, Western Province, Sri Lanka",5 days ago,https://lk.linkedin.com/jobs/view/senior-mortgage-specialist-at-the-global-bpo-4233528205?position=10&pageNum=7&refId=RRYsPJvcIGRNk4Sqc7ljXA%3D%3D&trackingId=Jp8ibmFFRVzSk3ixp0YT2g%3D%3D,https://au.linkedin.com/company/the-global-bpo?trk=public_jobs_jserp-result_job-search-card-subtitle
